order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
417,waiter,10617.73,0.00,99.09,35.31,0.00
418,barista,10618.85,0.00,40.89,30.25,0.00
419,waiter,10646.49,0.00,33.54,209.90,0.00
420,barista,10651.82,0.00,42.13,18.97,0.00
421,waiter,10669.07,0.00,4.26,1721.42,0.00
422,barista,10673.33,0.00,25.38,1.27,0.00
423,barista,10680.03,0.00,79.34,20.29,0.00
424,barista,10680.30,0.00,58.84,353.78,0.00
425,barista,10693.94,6.87,27.65,0.00,6.87
426,waiter,10701.70,0.00,48.56,21.67,0.00
427,barista,10716.81,0.00,31.43,18.11,0.00
428,barista,10750.26,0.00,3.39,2.02,0.00
429,waiter,10901.44,0.00,3.58,184.63,0.00
430,barista,10905.02,0.00,78.36,151.37,0.00
431,barista,10914.75,0.00,14.13,193.15,0.00
432,waiter,10980.76,0.00,43.18,75.74,0.00
433,waiter,10994.90,0.00,40.48,244.64,0.00
434,waiter,11002.64,0.00,30.41,329.31,0.00
435,barista,11023.94,0.00,192.06,40.56,0.00
436,barista,11033.05,0.00,22.96,104.17,0.00
437,barista,11035.38,0.00,47.13,276.01,0.00
438,waiter,11121.34,0.00,73.92,97.41,0.00
439,waiter,11192.14,0.00,37.18,156.76,0.00
440,barista,11195.26,0.00,115.61,139.25,0.00
441,barista,11229.33,0.00,79.06,13.33,0.00
442,waiter,11257.26,0.00,40.44,62.00,0.00
443,barista,11297.70,0.00,71.28,215.18,0.00
444,waiter,11310.11,0.00,27.00,12.41,0.00
445,barista,11337.11,0.00,61.80,28.72,0.00
446,waiter,11369.04,0.00,4.93,31.93,0.00
447,waiter,11370.28,0.00,56.75,140.95,0.00
448,barista,11373.97,0.00,26.98,63.10,0.00
449,barista,11415.34,0.00,83.40,16.43,0.00
450,waiter,11423.79,0.00,19.53,49.82,0.00
451,barista,11427.03,0.00,253.17,26.08,0.00
452,barista,11443.33,0.00,63.41,74.35,0.00
453,barista,11576.31,0.00,8.10,77.57,0.00
454,barista,11645.34,0.00,2.27,60.93,0.00
455,barista,11651.51,0.00,29.24,3.90,0.00
456,barista,11721.86,0.00,0.58,41.11,0.00
457,waiter,11753.17,0.00,120.20,309.85,0.00
458,waiter,11795.46,0.00,14.04,368.43,0.00
459,barista,11809.50,0.00,60.51,87.06,0.00
460,barista,11873.37,0.00,47.77,3.36,0.00
461,waiter,11977.05,0.00,48.59,103.68,0.00
462,barista,12025.64,0.00,75.02,104.50,0.00
463,barista,12087.58,0.00,113.30,407.39,0.00
464,barista,12173.98,0.00,10.32,73.32,0.00
465,barista,12184.14,0.00,84.98,677.40,0.00
466,barista,12332.13,0.00,131.27,147.84,0.00
467,waiter,12339.51,0.00,96.19,313.87,0.00
468,waiter,12354.27,0.00,33.29,544.78,0.00
469,waiter,12358.36,0.00,49.12,1325.31,0.00
470,waiter,12368.45,0.00,23.71,4397.69,0.00
471,barista,12387.56,0.00,70.50,186.68,0.00
472,barista,12392.16,0.00,41.29,123.03,0.00
473,barista,12404.28,0.00,72.81,1665.14,0.00
474,barista,12433.45,25.96,38.66,0.00,25.96
475,barista,12458.06,22.37,97.81,0.00,22.37
476,waiter,12459.97,0.00,27.58,24.27,0.00
477,barista,12487.55,0.00,58.88,24.15,0.00
478,waiter,12523.41,0.00,209.75,35.87,0.00
479,waiter,12525.07,0.00,4.24,137.51,0.00
480,barista,12529.31,0.00,20.58,57.20,0.00
481,waiter,12646.37,0.00,5.51,117.06,0.00
482,barista,12651.88,0.00,48.25,105.45,0.00
483,waiter,12732.03,0.00,50.51,80.16,0.00
484,barista,12733.17,0.00,45.81,33.04,0.00
485,waiter,12740.77,0.00,20.62,7.60,0.00
486,barista,12761.39,0.00,22.08,205.52,0.00
487,barista,12782.54,0.00,87.88,3.56,0.00
488,waiter,12784.62,0.00,177.01,23.24,0.00
489,waiter,12844.85,0.00,102.99,62.31,0.00
490,waiter,12896.67,0.00,35.30,489.18,0.00
491,waiter,12915.93,0.00,40.13,523.77,0.00
492,barista,12931.97,0.00,10.30,61.54,0.00
493,waiter,12937.55,0.00,160.22,5.58,0.00
494,barista,12947.85,0.00,18.35,5.58,0.00
495,waiter,12949.44,0.00,58.17,1.60,0.00
496,barista,12956.06,0.00,5.23,172.59,0.00
497,barista,12961.63,0.00,0.63,0.34,0.00
498,waiter,12961.85,0.00,89.24,0.22,0.00
499,barista,12995.21,0.00,12.06,29.02,0.00
500,barista,13007.61,0.00,2.91,0.34,0.00
501,barista,13051.09,0.00,58.93,40.57,0.00
502,barista,13097.77,0.00,193.12,135.51,0.00
503,barista,13111.13,0.00,13.19,1.10,0.00
504,barista,13158.20,0.00,95.61,33.89,0.00
505,waiter,13169.83,0.00,22.63,118.74,0.00
506,barista,13171.18,0.00,46.46,621.29,0.00
507,barista,13192.46,0.00,18.26,715.37,0.00
508,barista,13210.74,0.00,52.24,0.01,0.00
509,waiter,13220.95,0.00,151.73,28.48,0.00
510,waiter,13268.02,0.00,94.29,260.40,0.00
511,barista,13279.79,0.00,6.10,25.98,0.00
512,barista,13306.59,0.00,44.38,20.71,0.00
513,waiter,13339.62,0.00,100.86,241.86,0.00
514,barista,13362.30,0.00,48.46,11.34,0.00
515,barista,13372.68,0.00,20.66,81.79,0.00
516,waiter,13377.70,0.00,95.61,5.02,0.00
517,barista,13440.49,0.00,60.82,29.73,0.00
518,barista,13473.31,0.00,49.42,79.97,0.00
519,waiter,13480.51,0.00,105.06,7.20,0.00
520,waiter,13567.63,0.00,1.47,205.33,0.00
521,barista,13569.11,0.00,236.53,67.79,0.00
522,barista,13585.57,0.00,95.23,62.84,0.00
523,waiter,13604.23,0.00,55.85,18.66,0.00
524,waiter,13636.50,0.00,55.06,67.39,0.00
525,barista,13660.08,0.00,101.39,442.44,0.00
526,barista,13661.40,0.00,28.92,398.41,0.00
527,waiter,13682.96,0.00,14.18,22.88,0.00
